The entropy values are presented as TS (kcal/mol)
ID	TS_Trans	E_Trans	TS_Rot
0	2.59094		1.26486	0
1	3.06273		1.26074	0
2	2.53717		1.2652	0
3	2.81815		1.26191	0
4	3.16556		1.26057	0
5	3.40356		1.25528	0
6	3.63647		1.25358	0
7	3.8691		1.25304	0
8	3.7321		1.25398	0
9	3.26333		1.25975	0
10	3.45288		1.25505	0
11	2.91366		1.25908	0
12	2.51052		1.26615	0
13	2.69161		1.26479	0
14	3.82011		1.25316	0
15	3.0474		1.25742	0
16	3.17192		1.25774	0
17	3.71933		1.25382	0
18	3.94707		1.25306	0
19	3.42773		1.25707	0
20	3.54316		1.25467	0
21	3.24798		1.25606	0
22	3.1896		1.25841	0
23	2.8509		1.26169	0
24	2.90868		1.26256	0
25	2.90706		1.26129	0
26	2.50461		1.26745	0
27	3.52782		1.25536	0
28	3.47684		1.25578	0
29	2.93783		1.25893	0
30	3.23693		1.25671	0
31	3.85729		1.25296	0
32	2.52126		1.26596	0
33	2.78261		1.26458	0
34	3.24888		1.25906	0
35	2.86045		1.26105	0
36	2.78078		1.26238	0
37	2.60139		1.26548	0
38	3.51566		1.25564	0
39	3.62856		1.25386	0
40	3.10446		1.25807	0
41	3.0998		1.25702	0
42	2.51042		1.26604	0
43	2.84951		1.26115	0
44	2.97885		1.26029	0
45	2.72888		1.26326	0
46	2.87577		1.26035	0
47	3.33401		1.25656	0
48	2.85892		1.26064	0
49	2.60939		1.26492	0
50	2.83958		1.26211	0
51	2.46691		1.26676	0
52	2.81029		1.26229	0
53	2.80288		1.26315	0
54	3.04467		1.25742	0
55	3.45664		1.25594	0
56	2.62299		1.26394	0
57	3.6479		1.25501	0
58	3.14647		1.25641	0
59	2.84391		1.25993	0
60	3.33256		1.25633	0
61	3.52079		1.25471	0
62	3.54318		1.25462	0
63	2.69042		1.26439	0
64	2.86709		1.26166	0
65	3.53086		1.2541	0
66	2.69356		1.26709	0
67	2.51668		1.26733	0
68	3.19591		1.25681	0
69	3.72519		1.25481	0
70	2.94935		1.25868	0
71	2.68589		1.26474	0
72	3.62875		1.2536	0
73	2.66958		1.2625	0
74	3.34355		1.25607	0
75	3.04		1.2587	0
76	3.03457		1.25982	0
77	2.90079		1.26002	0
78	2.79048		1.26702	0
79	2.66618		1.26375	0
80	2.97783		1.25863	0
81	2.80543		1.26105	0
82	2.91595		1.25899	0
83	3.22479		1.25609	0
84	2.9533		1.26012	0
85	3.08164		1.2601	0
86	2.98427		1.25908	0
87	2.82843		1.2645	0
88	3.60518		1.2548	0
89	3.39982		1.25498	0
90	2.52206		1.26805	0
91	2.93262		1.25955	0
92	3.71865		1.25469	0
93	2.9767		1.26069	0
94	3.94535		1.25262	0
95	4.06799		1.25242	0
96	3.55048		1.25463	0
97	2.95646		1.25994	0
98	2.53386		1.26743	0
99	3.4519		1.25723	0
100	2.49084		1.26669	0
101	3.29535		1.25636	0
102	2.9451		1.26403	0
103	3.1103		1.2586	0
104	2.2776		1.27314	0
105	2.87677		1.26348	0
106	3.23456		1.25593	0
107	2.90071		1.26289	0
108	3.36759		1.25668	0
109	4.16978		1.25219	0
110	3.23864		1.25825	0
111	2.63912		1.26486	0
112	3.21248		1.25923	0
113	3.14757		1.25745	0
114	2.91912		1.25959	0
115	3.90863		1.25357	0
116	3.16148		1.2572	0
117	2.34403		1.2703	0
118	2.8109		1.26021	0
119	3.26685		1.25607	0
120	3.39622		1.25528	0
121	3.15657		1.25699	0
122	3.81647		1.25362	0
123	2.71161		1.26168	0
124	2.29584		1.27243	0
125	3.07267		1.25732	0
126	2.58588		1.26627	0
127	3.67751		1.25393	0
128	3.42394		1.25584	0
129	3.13082		1.25797	0
130	2.45167		1.26866	0
131	2.83922		1.26047	0
132	3.19795		1.25856	0
133	3.98176		1.25274	0
134	3.29217		1.25601	0
135	2.31742		1.27064	0
136	2.42279		1.26859	0
137	2.70862		1.26346	0
138	3.57978		1.25429	0
139	2.96265		1.25827	0
140	2.70622		1.26538	0
141	3.56626		1.25409	0
142	3.10838		1.25762	0
143	2.90832		1.2601	0
144	2.66914		1.2638	0
145	2.752		1.26372	0
146	3.76327		1.25306	0
147	2.19687		1.27591	0
148	3.02684		1.25991	0
149	3.54913		1.25508	0
150	2.81043		1.26042	0
151	2.58424		1.26733	0
152	3.15215		1.25672	0
153	2.94701		1.25964	0
154	3.78523		1.25352	0
155	3.28935		1.25719	0
156	2.5858		1.26431	0
157	2.64343		1.26525	0
158	3.34066		1.25496	0
159	3.56418		1.2561	0
160	2.96187		1.25859	0
161	2.89716		1.26206	0
162	3.72895		1.25383	0
163	3.23825		1.25692	0
164	3.12895		1.26008	0
165	2.50303		1.26635	0
166	3.04367		1.25896	0
167	3.61973		1.25407	0
168	3.3475		1.25515	0
169	2.29268		1.27205	0
170	3.24133		1.25892	0
171	2.71941		1.2617	0
172	3.22995		1.25626	0
173	3.19566		1.25709	0
174	3.15102		1.25727	0
175	3.6309		1.25366	0
176	2.8597		1.2601	0
177	2.9285		1.25922	0
178	2.40915		1.27036	0
179	3.55336		1.2554	0
180	2.76283		1.26199	0
181	3.31051		1.25598	0
182	3.13188		1.25779	0
183	3.00987		1.25787	0
184	3.05134		1.25784	0
185	3.76403		1.25306	0
186	3.22058		1.2578	0
187	2.5629		1.2647	0
188	2.63517		1.26491	0
189	2.93209		1.25991	0
190	3.58158		1.25426	0
191	2.81594		1.2629	0
192	3.34024		1.25552	0
193	2.6806		1.26571	0
194	3.70486		1.25324	0
195	3.00469		1.26181	0
196	3.34433		1.25587	0
197	3.14773		1.26012	0
198	2.65388		1.26508	0
199	3.19198		1.25854	0
200	2.30319		1.27361	0
201	3.37905		1.25557	0
202	2.68842		1.26271	0
203	3.37261		1.25601	0
204	3.19741		1.25674	0
205	2.69253		1.26445	0
206	3.76178		1.2539	0
207	2.71258		1.26489	0
208	3.80016		1.2535	0
209	3.74876		1.25457	0
210	2.76889		1.26144	0
211	3.28157		1.25631	0
212	3.66017		1.25374	0
213	2.53276		1.26587	0
214	3.23447		1.25658	0
215	3.36356		1.25528	0
216	2.41199		1.26925	0
217	3.1949		1.25617	0
218	3.69131		1.25379	0
219	3.28763		1.2571	0
220	3.90929		1.25283	0
221	3.24954		1.25728	0
222	2.26341		1.2723	0
223	2.30665		1.27181	0
224	3.07799		1.26052	0
225	3.52587		1.25435	0
226	2.49459		1.26661	0
227	3.56348		1.25477	0
228	2.94783		1.25839	0
229	3.01695		1.2598	0
230	3.02541		1.25911	0
231	3.70128		1.25334	0
232	2.96361		1.2629	0
233	3.40648		1.25493	0
234	2.71827		1.263	0
235	3.05358		1.25848	0
236	3.77006		1.25363	0
237	3.45424		1.25603	0
238	2.52753		1.26775	0
239	3.66264		1.25348	0
240	3.72188		1.25341	0
241	2.38065		1.26945	0
242	2.68479		1.26401	0
243	2.34057		1.27021	0
244	3.65626		1.2538	0
245	2.25201		1.27321	0
246	3.38913		1.25618	0
247	2.37425		1.26986	0
248	3.58385		1.25407	0
249	2.45358		1.26845	0
250	3.58581		1.25427	0
251	3.32195		1.25633	0
252	3.12578		1.25804	0
253	3.39901		1.25521	0
254	3.41892		1.25459	0
255	2.78608		1.2641	0
256	2.97461		1.26234	0
257	2.93665		1.26009	0
258	3.22595		1.25619	0
259	3.09526		1.26006	0
260	3.32543		1.25795	0
261	3.00756		1.25947	0
262	2.74503		1.26229	0
263	2.52574		1.26682	0
264	3.39107		1.25545	0
265	2.98582		1.26249	0
266	2.96985		1.26142	0
267	2.88107		1.26047	0
268	3.23149		1.25595	0
269	3.61559		1.25379	0
270	3.84093		1.25323	0
271	2.93947		1.25936	0
272	3.86457		1.25286	0
273	3.11467		1.25791	0
274	2.23395		1.27421	0
275	2.56068		1.27125	0
276	4.07466		1.25264	0
277	2.99516		1.25832	0
278	2.47384		1.26841	0
279	3.10702		1.25743	0
280	2.69093		1.26569	0
281	3.59613		1.25421	0
282	2.68902		1.26237	0
283	2.39002		1.26986	0
284	2.83192		1.26033	0
285	4.11929		1.25229	0
286	3.36698		1.25683	0
287	2.88778		1.26177	0
288	3.61621		1.25512	0
289	3.25882		1.25675	0
290	2.95666		1.25877	0
291	2.93039		1.26205	0
292	3.34456		1.25519	0
293	3.08418		1.25985	0
294	3.55942		1.25394	0
295	4.12734		1.25226	0
296	2.99241		1.25915	0
297	2.39637		1.26856	0
298	2.76234		1.26218	0
299	2.39965		1.2692	0
300	3.31414		1.25629	0
301	3.82337		1.25325	0
302	2.89771		1.26281	0
303	3.84405		1.25293	0
304	2.64868		1.26465	0
305	2.72151		1.2633	0
306	3.37714		1.25639	0
307	3.17492		1.25699	0
308	3.65353		1.25369	0
309	2.69819		1.26521	0
310	3.1533		1.26003	0
311	3.27322		1.25534	0
312	3.35381		1.25644	0
313	3.09675		1.25749	0
314	3.41464		1.2553	0
315	3.51399		1.25459	0
316	3.41007		1.25513	0
317	2.47212		1.26746	0
318	3.36818		1.25555	0
319	3.20522		1.25686	0
320	2.98662		1.26033	0
321	3.31372		1.25571	0
322	3.20593		1.25638	0
323	3.04525		1.25737	0
324	3.81695		1.25346	0
325	3.09953		1.2575	0
326	3.59929		1.25369	0
327	2.61128		1.26788	0
328	3.11068		1.25744	0
329	3.25276		1.25757	0
330	3.72035		1.25648	0
331	3.45315		1.25444	0
332	2.43769		1.27062	0
333	3.32431		1.2567	0
334	2.80282		1.26021	0
335	3.28071		1.257	0
336	2.80952		1.26193	0
337	2.35101		1.27157	0
338	3.35203		1.25518	0
339	2.50937		1.2659	0
340	3.54295		1.25432	0
341	3.56218		1.25401	0
342	2.92798		1.26159	0
343	2.84151		1.26346	0
344	2.71079		1.26248	0
345	2.76249		1.26116	0
346	2.63075		1.26385	0
347	3.46555		1.25448	0
348	3.47143		1.25456	0
349	3.31599		1.25757	0
350	3.15096		1.25876	0
351	3.63643		1.25366	0
352	3.21017		1.25641	0
353	2.87908		1.2602	0
354	3.49965		1.25447	0
355	3.72884		1.25343	0
356	3.39748		1.25475	0
357	4.10087		1.25223	0
358	3.02454		1.25863	0
359	3.60923		1.25371	0
360	3.10541		1.25783	0
361	3.62261		1.25391	0
362	3.39505		1.25528	0
363	2.75773		1.26129	0
364	3.05116		1.26104	0
365	3.20399		1.25716	0
366	3.38497		1.25489	0
367	3.38916		1.25492	0
368	3.00583		1.26106	0
369	2.8038		1.26188	0
370	2.61177		1.26502	0
371	2.63497		1.2633	0
372	3.07877		1.25724	0
373	2.59602		1.26403	0
374	2.95344		1.26086	0
375	2.95787		1.26059	0
376	3.84429		1.25283	0
377	2.69729		1.26291	0
378	3.58695		1.25424	0
379	2.96259		1.26077	0
380	4.03747		1.2524	0
381	2.89967		1.26018	0
382	3.68294		1.25427	0
383	2.42069		1.26913	0
384	3.46128		1.25502	0
385	3.1938		1.25898	0
386	3.59682		1.25464	0
387	2.97535		1.25913	0
388	2.88093		1.26088	0
389	3.26101		1.25734	0
390	3.10872		1.25914	0
391	3.31019		1.25568	0
392	3.15009		1.25704	0
393	3.39281		1.25476	0
394	3.31232		1.25558	0
395	3.27325		1.25546	0
396	3.16324		1.25687	0
397	3.28833		1.25559	0
398	2.89936		1.26038	0
399	3.1599		1.25733	0
400	3.32106		1.25534	0
401	2.52792		1.26687	0
402	2.80801		1.26066	0
403	3.17886		1.25667	0
404	3.58303		1.25427	0
405	4.05975		1.2525	0
406	2.46892		1.26668	0
407	4.21291		1.25212	0
408	3.5963		1.25391	0
409	3.26919		1.25712	0
410	2.38134		1.27086	0
411	3.98102		1.25263	0
412	3.33123		1.25523	0
413	3.71854		1.2538	0
414	3.88985		1.25299	0
415	3.1959		1.25645	0
416	2.67642		1.26375	0
417	2.47886		1.26672	0
418	2.98273		1.25902	0
419	3.13115		1.25924	0
420	3.33279		1.25765	0
421	2.60154		1.26488	0
422	2.78347		1.26723	0
423	2.99208		1.25873	0
424	2.68376		1.2662	0
425	2.71113		1.2623	0
426	3.40694		1.25518	0
427	3.65976		1.25348	0
428	2.66916		1.26375	0
429	3.38537		1.25564	0
430	2.69443		1.26493	0
431	2.48874		1.2674	0
432	3.64495		1.25399	0
433	3.57353		1.25588	0
434	2.48781		1.26578	0
435	3.70304		1.25365	0
436	3.06811		1.2576	0
437	2.77864		1.26139	0
438	2.8401		1.2642	0
439	2.27243		1.27381	0
440	3.29785		1.2572	0
441	2.56967		1.26443	0
442	3.0277		1.25807	0
443	3.18112		1.2579	0
444	3.48178		1.2542	0
445	3.38467		1.25497	0
446	2.81758		1.25983	0
447	3.27843		1.25697	0
448	3.35103		1.25644	0
449	3.61936		1.25422	0
450	2.34181		1.27133	0
451	2.32811		1.2725	0
452	3.50517		1.25511	0
453	2.3682		1.27091	0
454	2.49589		1.26737	0
455	3.49596		1.25445	0
456	3.01639		1.25829	0
457	3.65523		1.25348	0
458	3.11352		1.25886	0
459	2.61138		1.26722	0
460	3.56735		1.25718	0
461	3.21526		1.25645	0
462	2.5596		1.26602	0
463	2.91976		1.25919	0
464	3.88492		1.25281	0
465	3.13501		1.25674	0
466	3.91419		1.25282	0
467	3.28331		1.25557	0
468	3.22135		1.25622	0
469	3.31835		1.25729	0
470	3.61457		1.25419	0
471	3.24923		1.25807	0
472	2.72838		1.26336	0
473	3.45918		1.25623	0
474	2.84868		1.26004	0
475	3.18272		1.2563	0
476	4.08113		1.25244	0
477	3.46721		1.25609	0
478	3.77193		1.2531	0
479	3.44242		1.25583	0
480	3.98758		1.25261	0
481	3.31018		1.25594	0
482	3.24574		1.25601	0
483	3.67991		1.25402	0
484	2.50416		1.2698	0
485	3.80758		1.25337	0
486	3.70285		1.25406	0
487	3.31		1.25589	0
488	3.98267		1.25268	0
489	4.00943		1.2528	0
490	2.32741		1.27193	0
491	2.42161		1.26965	0
492	3.79253		1.25325	0
493	3.03254		1.25754	0
494	3.06583		1.25906	0
495	3.45402		1.25458	0
496	2.76393		1.26203	0
497	2.38147		1.27001	0
498	2.96251		1.25872	0
499	3.47114		1.25501	0
500	3.94667		1.25283	0
501	2.95563		1.26127	0
502	3.39764		1.25543	0
503	2.75688		1.26093	0
504	3.09174		1.25793	0
505	3.63432		1.25399	0
506	3.83148		1.25354	0
507	2.98805		1.25815	0
508	2.79399		1.2642	0
509	4.01006		1.25263	0
510	3.28829		1.25759	0
511	3.04706		1.25801	0
512	3.84028		1.25351	0
513	3.24018		1.26083	0
514	3.51569		1.257	0
515	3.3586		1.2551	0
516	3.56163		1.25419	0
517	3.42094		1.25442	0
518	3.62877		1.25395	0
519	3.11991		1.25678	0
520	2.92636		1.26071	0
521	3.50878		1.25756	0
522	2.99042		1.2593	0
523	2.72177		1.26204	0
524	2.53531		1.2665	0
525	2.90288		1.26006	0
526	3.3454		1.25559	0
527	3.31288		1.25625	0
